# Model|Interface|RPM|Cache-MB|IMG
DEFAULT||||default.png
# Western Digital
# 300GB
WD3000JB|ATA100|7200|8|western digital/WD Blue.png
# 320GB
WD3200AZRX|SATA 6||64|western digital/WD Green.png
WD3200AZDX|SATA 6|||western digital/WD Green.png
# 500GB
WD5000AADS|SATA 3||32|western digital/WD Green.png
WD5000AZRX|SATA 6||64|western digital/WD Green.png
WDBAAY5000ENC|SATA 3|||western digital/WD Green.png
WD5000AZDX|SATA 6|||western digital/WD Green.png
WD5000AACS|SATA 2|6400|16|western digital/WD Green.png
# 640GB
WD6400AARS|SATA 3||64|western digital/WD Green.png
WD6400AACS|SATA 3|7200|16|western digital/WD Green.png
WD6400AAVS|SATA||8|western digital/WD Green.png
# 750GB
WD7500AAVS|SATA 3|7200|16|western digital/WD Green.png
WD7500AADS|SATA 3||32|western digital/WD Green.png
WD7500AARS|SATA 3||64|western digital/WD Green.png
WD7500AADS|SATA 3||32|western digital/WD Green.png
# 1TB
WD10EADS|SATA 3||32|western digital/WD Green.png
WD10EZRX|SATA 6||64|western digital/WD Green.png
WD10EARS|SATA 3|5400|64|western digital/WD Green.png
WD10EARX|SATA 6||64|western digital/WD Green.png
WD10EACS|SATA 3||16|western digital/WD Green.png
WD10EADX|SATA 6||32|western digital/WD Green.png
# 1.5TB
WD15EADS|SATA 3||32|western digital/WD Green.png
WD15EARS|SATA 3|7200|64|western digital/WD Green.png
WD15EARX|SATA 6||64|western digital/WD Green.png
WD15EZRX|SATA 3||64|western digital/WD Green.png
# 2TB
WD20EZRX|SATA 6||64|western digital/WD Green.png
WD20EARS|SATA 3|6400|64|western digital/WD Green.png
WD20EARX|SATA 6||64|western digital/WD Green.png
WD20EADS|SATA 3||32|western digital/WD Green.png
WDBAAY0020HNC|SATA 6||64|western digital/WD Green.png
WD20NPVX|SATA 6||8|western digital/WD Green.png
WD2002FAEX|SATA 6|7200|64|western digital/WD Black.png
# 2.5TB
WD25EZRX|SATA 6||64|western digital/WD Green.png
# 3TB
WD30EZRX|SATA 6||64|western digital/WD Green.png
WD30EZRS|SATA 3||64|western digital/WD Green.png
# 4TB
WD40EZRX|SATA 6||64|western digital/WD Green.png
# 5TB
WD50EZRX|SATA 6||64|western digital/WD Green.png
# 6TB
WD60EZRX|SATA 6||64|western digital/WD Green.png
#
WD6002FZWX|SATA 6|7200|128|western digital/WD Black.png
WD5001FZWX|SATA 6|7200|128|western digital/WD Black.png
WD4003FZEX|SATA 6|7200|128|western digital/WD Black.png
WD3003FZEX|SATA 6|7200|62|western digital/WD Black.png
WD2003FZEX|SATA 6|7200|62|western digital/WD Black.png
WD1003FZEX|SATA 6|7200|62|western digital/WD Black.png
WD5003AZEX|SATA 6|7200|62|western digital/WD Black.png
WD10JPLX|SATA 6|7200|32|western digital/WD Black Mobile.png
WD7500BPKX|SATA 6|7200|16|western digital/WD Black Mobile.png
WD5000BPKX|SATA 6|7200|16|western digital/WD Black Mobile.png
WD3200LPLX|SATA 6|7200|32|western digital/WD Black Mobile.png
WD2500LPLX|SATA 6|7200|32|western digital/WD Black Mobile.png
WD20NPVZ|SATA 6|5400||western digital/WD Blue Mobile.png
WD10JPVX|SATA 6|5400||western digital/WD Blue Mobile.png
WD7500BPVX|SATA 6|5400||western digital/WD Blue Mobile.png
WD5000LPVX|SATA 6|5400||western digital/WD Blue Mobile.png
WD3200LPCX|SATA 6|5400||western digital/WD Blue Mobile.png
WD60EZRZ|SATA 6|5400||western digital/WD Blue.png
WD50EZRZ|SATA 6|5400||western digital/WD Blue.png
WD40EZRZ|SATA 6|5400||western digital/WD Blue.png
WD30EZRZ|SATA 6|5400||western digital/WD Blue.png
WD20EZRZ|SATA 6|5400||western digital/WD Blue.png
WD10EZEX|SATA 6|7200||western digital/WD Blue.png
WD5000AAKX|SATA 6|7200||western digital/WD Blue.png
WD40E31X|SATA 6||64|western digital/WD Blue SSHD.png
WD10J31X|SATA 6||64|western digital/WD Blue SSHD.png
WD100PURZ|SATA 6|5400|256|western digital/WD Purple.png
WD80PUZX|SATA 6|5400|128|western digital/WD Purple.png
WD60PURX|SATA 6|5400|64|western digital/WD Purple.png
WD40PURX|SATA 6|5400|64|western digital/WD Purple.png
WD30PURX|SATA 6|5400|64|western digital/WD Purple.png
WD20PURX|SATA 6|5400|64|western digital/WD Purple.png
WD10PURX|SATA 6|5400|64|western digital/WD Purple.png
WD100EFAX|SATA 6|5400|256|western digital/WD Red.png
WD80EFZX|SATA 6|5400|128|western digital/WD Red.png
WD60EFRX|SATA 6|5400|64|western digital/WD Red.png
WD50EFRX|SATA 6|5400|64|western digital/WD Red.png
WD40EFRX|SATA 6|5400|64|western digital/WD Red.png
WD30EFRX|SATA 6|5400|64|western digital/WD Red.png
WD20EFRX|SATA 6|5400|64|western digital/WD Red.png
WD10JFCX|SATA 6|5400|16|western digital/WD Red.png
WD7500BFCX|SATA 6|5400|16|western digital/WD Red.png
WD101KRYZ|SATA 6|7200|256|western digital/WD Gold.png
WD8002FRYZ|SATA 6|7200|128|western digital/WD Gold.png
WD6002FRYZ|SATA 6|7200|128|western digital/WD Gold.png
WD4002FYYZ|SATA 6|7200|128|western digital/WD Gold.png
WD2005FBYZ|SATA 6|7200|128|western digital/WD Gold.png
WD1005FBYZ|SATA 6|7200|128|western digital/WD Gold.png
WD5003ABYZ|SATA 6|7200|64|western digital/WD Re.png
WD2503ABYZ|SATA 6|7200|64|western digital/WD Re.png
WD101KFBX|SATA 6|7200|256|western digital/WD Red Pro.png
WD8001FFWX|SATA 6|7200|128|western digital/WD Red Pro.png
WD6002FFWX|SATA 6|7200|128|western digital/WD Red Pro.png
WD4002FFWX|SATA 6|7200|64|western digital/WD Red Pro.png
WD2002FFSX|SATA 6|7200|64|western digital/WD Red Pro.png
# Seagate
ST2000DM009|SATA 6|7200|128|seagate/ST2000DM009.png
ST4000DM005|SATA 6||64|seagate/ST4000DM005.png
ST2000DM007||||seagate/ST2000DM007.png
ST3000DM008||||seagate/ST3000DM008.png
ST3000LM024||||seagate/ST3000LM024.png
ST4000LM024||||seagate/ST4000LM024.png
ST5000LM000||||seagate/ST5000LM000.png
ST1000DM010||||seagate/ST1000DM010.png
ST500DM009||||seagate/ST500DM009.png
ST2000VX008|SATA 6||64|seagate/ST2000VX008.png
ST4000VX007|SATA 6||64|seagate/ST4000VX007.png
ST6000VX0023|SATA 6||256|seagate/ST6000VX0023.png
ST2000LV000||||seagate/ST2000LV000.png
ST1000LM048||||seagate/ST1000LM048.png
ST2000LM015||||seagate/ST2000LM015.png
ST500LM030||||seagate/ST500LM030.png
ST4000DM006|SATA 6|7200|128|seagate/ST4000DM006.png
ST6000DM004|SATA 6|7200|256|seagate/ST6000DM004.png
ST8000DM005|SATA 6|7200|256|seagate/ST8000DM005.png
ST8000DM004||||seagate/ST8000DM004.png
ST10000DM0004|SATA 6|7200|256|seagate/ST10000DM0004.png
ST1000DX002||||seagate/ST1000DX002.png
ST2000DX002||||seagate/ST2000DX002.png
ST1000LX015||||seagate/ST1000LX015.png
ST2000LX001||||seagate/ST2000LX001.png
ST500LX025||||seagate/ST500LX025.png
ST1000VN002|SATA 6|5900|64|seagate/ST1000VN002.png
ST2000NE0025|SATA 6|7200|128|seagate/ST2000NE0025.png
ST2000VN004|SATA 6|5900|64|seagate/ST2000VN004.png
ST4000VN008|SATA 6|5900|64|seagate/ST4000VN008.png
ST3000VN007|SATA 6|5900|64|seagate/ST3000VN007.png
ST6000VN0041|SATA 6|7200|128|seagate/ST6000VN0041.png
ST8000VN0022|SATA 6|7200|256|seagate/ST8000VN0022.png
ST10000VN0004|SATA 6|7200|256|seagate/ST10000VN0004.png
ST4000NE0025|SATA 6|7200|128|seagate/ST4000NE0025.png
ST6000NE0021|SATA 6|7200|256|seagate/ST6000NE0021.png
ST8000NE0021|SATA 6|7200|256|seagate/ST8000NE0021.png
ST8000NE0004|SATA 6|7200|256|seagate/ST8000NE0004.png
ST10000NE0004|SATA 6|7200|256|seagate/ST10000NE0004.png
ST1000VX005|SATA 6||64|seagate/ST1000VX005.png
ST3000VX010|SATA 6||64|seagate/ST3000VX010.png
ST8000VX0022|SATA 6||256|seagate/ST8000VX0022.png
ST10000VX004||||seagate/ST10000VX004.png
ST10000VX0004|SATA 6||256|seagate/ST10000VX0004.png
# 250GB
ST250DM000|SATA 6||16|seagate/Desktop.png
# 320GB
ST320DM000|SATA 6||16|seagate/Desktop 320GB.png
# 500GB
ST35006||7200||seagate/Desktop HDD 500GB.png
ST35004||7200||seagate/Desktop HDD 500GB.png
ST35003||7200||seagate/Desktop HDD 500GB.png
ST500DM||7200||seagate/Desktop HDD 500GB.png
ST500DM002|SATA 6||16|seagate/Desktop HDD 500GB.png
# 750GB
#ST37503||7200||
#ST37506||7200||
#ST37505||7200||
# 1TB
ST310003||7200||seagate/Barracuda 1TB.png
ST310006||7200||seagate/Barracuda 1TB.png
ST310005||7200||seagate/Barracuda 1TB.png
ST1000DM||7200||seagate/Barracuda 1TB.png
ST1000DL||5900||seagate/Barracuda 1TB.png
ST31000528AS|SATA 6|7200|32|seagate/Barracuda 1TB.png
